# rank15 plateau-suffix capacity ledger v1
# Every row is derived from the exact profile optimizer.
# t-columns are capacity:margin, with margin = capacity - 218*a; NA means t<W/lambda.
u	e	N	a	lambda	W	c0	t_min	t210	t211	t212	t213	t214	t215	t216	t217	t218	C	argmax_t	margin	classification
1043900	2069	1053252	72147	4675	982518	2022	211	NA	15634322:-93724	15634866:-93180	15606816:-121230	15566118:-161928	15550716:-177330	15550716:-177330	15555391:-172655	15543081:-184965	15634866	212	-93180	PROVED_M_LE_217
1043901	2068	1053251	72146	4674	982314	2036	211	NA	15633445:-94383	15633316:-94512	15605272:-122556	15564807:-163021	15549184:-178644	15549184:-178644	15553858:-173970	15541429:-186399	15633445	211	-94383	PROVED_M_LE_217
1043902	2067	1053250	72145	4673	982110	2050	211	NA	15632568:-95042	15631766:-95844	15603728:-123882	15563496:-164114	15547652:-179958	15547652:-179958	15552325:-175285	15539778:-187832	15632568	211	-95042	PROVED_M_LE_217
1043903	2066	1053249	72144	4672	981906	2064	211	NA	15631691:-95701	15630216:-97176	15602184:-125208	15562185:-165207	15546120:-181272	15546120:-181272	15550792:-176600	15538126:-189266	15631691	211	-95701	PROVED_M_LE_217
1043904	2065	1053248	72143	4671	981702	2078	211	NA	15630814:-96360	15628666:-98508	15600640:-126534	15560874:-166300	15544588:-182586	15544588:-182586	15549259:-177915	15536474:-190700	15630814	211	-96360	PROVED_M_LE_217
1043905	2064	1053247	72142	4670	981498	2092	211	NA	15629937:-97019	15627116:-99840	15599096:-127860	15559563:-167393	15543056:-183900	15543056:-183900	15547726:-179230	15534823:-192133	15629937	211	-97019	PROVED_M_LE_217
1043906	2063	1053246	72141	4669	981294	2106	211	NA	15629060:-97678	15625566:-101172	15597552:-129186	15558252:-168486	15541524:-185214	15541524:-185214	15546193:-180545	15533171:-193567	15629060	211	-97678	PROVED_M_LE_217
1043907	2062	1053245	72140	4668	981090	2120	211	NA	15628183:-98337	15624016:-102504	15596008:-130512	15556941:-169579	15539992:-186528	15539992:-186528	15544660:-181860	15531520:-195000	15628183	211	-98337	PROVED_M_LE_217
1043908	2061	1053244	72139	4667	980886	2134	211	NA	15627306:-98996	15622466:-103836	15594464:-131838	15555630:-170672	15538460:-187842	15538460:-187842	15543127:-183175	15529868:-196434	15627306	211	-98996	PROVED_M_LE_217
1043909	2060	1053243	72138	4666	980682	2148	211	NA	15626429:-99655	15620916:-105168	15592920:-133164	15554319:-171765	15536928:-189156	15536928:-189156	15541594:-184490	15528216:-197868	15626429	211	-99655	PROVED_M_LE_217
1043910	2059	1053242	72137	4665	980478	2162	211	NA	15625552:-100314	15619366:-106500	15591376:-134490	15553008:-172858	15535396:-190470	15535396:-190470	15540061:-185805	15526565:-199301	15625552	211	-100314	PROVED_M_LE_217
1043911	2058	1053241	72136	4664	980274	2176	211	NA	15624675:-100973	15617816:-107832	15589832:-135816	15551697:-173951	15533864:-191784	15533864:-191784	15538528:-187120	15524913:-200735	15624675	211	-100973	PROVED_M_LE_217
1043912	2057	1053240	72135	4663	980070	2190	211	NA	15623798:-101632	15616266:-109164	15588288:-137142	15550386:-175044	15532332:-193098	15532332:-193098	15536995:-188435	15523262:-202168	15623798	211	-101632	PROVED_M_LE_217
1043913	2056	1053239	72134	4662	979866	2204	211	NA	15622921:-102291	15614716:-110496	15586744:-138468	15549075:-176137	15530800:-194412	15530800:-194412	15535462:-189750	15521610:-203602	15622921	211	-102291	PROVED_M_LE_217
1043914	2055	1053238	72133	4661	979662	2218	211	NA	15622044:-102950	15613166:-111828	15585200:-139794	15547764:-177230	15529268:-195726	15529268:-195726	15533929:-191065	15519958:-205036	15622044	211	-102950	PROVED_M_LE_217
1043915	2054	1053237	72132	4660	979458	2232	211	NA	15620936:-103840	15611616:-113160	15583656:-141120	15546376:-178400	15527736:-197040	15527736:-197040	15532396:-192380	15518307:-206469	15620936	211	-103840	PROVED_M_LE_217
1043916	2053	1053236	72131	4659	979254	2246	211	NA	15619384:-105174	15610066:-114492	15582112:-142446	15544840:-179718	15526204:-198354	15526204:-198354	15530863:-193695	15516655:-207903	15619384	211	-105174	PROVED_M_LE_217
1043917	2052	1053235	72130	4658	979050	2260	211	NA	15617832:-106508	15608516:-115824	15580568:-143772	15543304:-181036	15524672:-199668	15524672:-199668	15529330:-195010	15515004:-209336	15617832	211	-106508	PROVED_M_LE_217
1043918	2051	1053234	72129	4657	978846	2274	211	NA	15616280:-107842	15606966:-117156	15579024:-145098	15541768:-182354	15523140:-200982	15523140:-200982	15527797:-196325	15513352:-210770	15616280	211	-107842	PROVED_M_LE_217
1043919	2050	1053233	72128	4656	978642	2288	211	NA	15614728:-109176	15605416:-118488	15577480:-146424	15540232:-183672	15521608:-202296	15521608:-202296	15526264:-197640	15511700:-212204	15614728	211	-109176	PROVED_M_LE_217
1043920	2049	1053232	72127	4655	978438	2302	211	NA	15613176:-110510	15603866:-119820	15575936:-147750	15538696:-184990	15520076:-203610	15520076:-203610	15524731:-198955	15510049:-213637	15613176	211	-110510	PROVED_M_LE_217
1043921	2048	1053231	72126	4654	978234	2316	211	NA	15611624:-111844	15602316:-121152	15574392:-149076	15537160:-186308	15518544:-204924	15518544:-204924	15523198:-200270	15508397:-215071	15611624	211	-111844	PROVED_M_LE_217
1043922	2047	1053230	72125	4653	978030	2330	211	NA	15610072:-113178	15600766:-122484	15572848:-150402	15535624:-187626	15517012:-206238	15517012:-206238	15521665:-201585	15506746:-216504	15610072	211	-113178	PROVED_M_LE_217
1043923	2046	1053229	72124	4652	977826	2344	211	NA	15608520:-114512	15599216:-123816	15571304:-151728	15534088:-188944	15515480:-207552	15515480:-207552	15520132:-202900	15505094:-217938	15608520	211	-114512	PROVED_M_LE_217
1043924	2045	1053228	72123	4651	977622	2358	211	NA	15606968:-115846	15597666:-125148	15569760:-153054	15532552:-190262	15513948:-208866	15513948:-208866	15518599:-204215	15503442:-219372	15606968	211	-115846	PROVED_M_LE_217
1043925	2044	1053227	72122	4650	977418	2372	211	NA	15605416:-117180	15596116:-126480	15568216:-154380	15531016:-191580	15512416:-210180	15512416:-210180	15517066:-205530	15501791:-220805	15605416	211	-117180	PROVED_M_LE_217
1043926	2043	1053226	72121	4649	977214	2386	211	NA	15603864:-118514	15594566:-127812	15566672:-155706	15529480:-192898	15510884:-211494	15510884:-211494	15515533:-206845	15500139:-222239	15603864	211	-118514	PROVED_M_LE_217
1043927	2042	1053225	72120	4648	977010	2400	211	NA	15602312:-119848	15593016:-129144	15565128:-157032	15527944:-194216	15509352:-212808	15509352:-212808	15514000:-208160	15498488:-223672	15602312	211	-119848	PROVED_M_LE_217
1043928	2041	1053224	72119	4647	976806	2414	211	NA	15600760:-121182	15591466:-130476	15563584:-158358	15526408:-195534	15507820:-214122	15507820:-214122	15512467:-209475	15496836:-225106	15600760	211	-121182	PROVED_M_LE_217
1043929	2040	1053223	72118	4646	976602	2428	211	NA	15599208:-122516	15589916:-131808	15562040:-159684	15524872:-196852	15506288:-215436	15506288:-215436	15510934:-210790	15495184:-226540	15599208	211	-122516	PROVED_M_LE_217
1043930	2039	1053222	72117	4645	976398	2442	211	NA	15597656:-123850	15588366:-133140	15560496:-161010	15523336:-198170	15504756:-216750	15504756:-216750	15509401:-212105	15493533:-227973	15597656	211	-123850	PROVED_M_LE_217
1043931	2038	1053221	72116	4644	976194	2456	211	NA	15596104:-125184	15586816:-134472	15558952:-162336	15521800:-199488	15503224:-218064	15503224:-218064	15507868:-213420	15491881:-229407	15596104	211	-125184	PROVED_M_LE_217
1043932	2037	1053220	72115	4643	975990	2470	211	NA	15594552:-126518	15585266:-135804	15557408:-163662	15520264:-200806	15501692:-219378	15501692:-219378	15506335:-214735	15490230:-230840	15594552	211	-126518	PROVED_M_LE_217
1043933	2036	1053219	72114	4642	975786	2484	211	NA	15593000:-127852	15583716:-137136	15555864:-164988	15518728:-202124	15500160:-220692	15500160:-220692	15504802:-216050	15488578:-232274	15593000	211	-127852	PROVED_M_LE_217
1043934	2035	1053218	72113	4641	975582	2498	211	NA	15591448:-129186	15582166:-138468	15554320:-166314	15517192:-203442	15498628:-222006	15498628:-222006	15503269:-217365	15486926:-233708	15591448	211	-129186	PROVED_M_LE_217
1043935	2034	1053217	72112	4640	975378	2512	211	NA	15589896:-130520	15580616:-139800	15552776:-167640	15515656:-204760	15497096:-223320	15497096:-223320	15501736:-218680	15485275:-235141	15589896	211	-130520	PROVED_M_LE_217
1043936	2033	1053216	72111	4639	975174	2526	211	NA	15588344:-131854	15579066:-141132	15551232:-168966	15514120:-206078	15495564:-224634	15495564:-224634	15500203:-219995	15483623:-236575	15588344	211	-131854	PROVED_M_LE_217
1043937	2032	1053215	72110	4638	974970	2540	211	NA	15586792:-133188	15577516:-142464	15549688:-170292	15512584:-207396	15494032:-225948	15494032:-225948	15498670:-221310	15481972:-238008	15586792	211	-133188	PROVED_M_LE_217
1043938	2031	1053214	72109	4637	974766	2554	211	NA	15585240:-134522	15575966:-143796	15548144:-171618	15511048:-208714	15492500:-227262	15492500:-227262	15497137:-222625	15480320:-239442	15585240	211	-134522	PROVED_M_LE_217
1043939	2030	1053213	72108	4636	974562	2568	211	NA	15583688:-135856	15574416:-145128	15546600:-172944	15509512:-210032	15490968:-228576	15490968:-228576	15495604:-223940	15478668:-240876	15583688	211	-135856	PROVED_M_LE_217
1043940	2029	1053212	72107	4635	974358	2582	211	NA	15582136:-137190	15572866:-146460	15545056:-174270	15507976:-211350	15489436:-229890	15489436:-229890	15494071:-225255	15477017:-242309	15582136	211	-137190	PROVED_M_LE_217
1043941	2028	1053211	72106	4634	974154	2596	211	NA	15580584:-138524	15571316:-147792	15543512:-175596	15506440:-212668	15487904:-231204	15487904:-231204	15492538:-226570	15475365:-243743	15580584	211	-138524	PROVED_M_LE_217
1043942	2027	1053210	72105	4633	973950	2610	211	NA	15579032:-139858	15569766:-149124	15541968:-176922	15504904:-213986	15486372:-232518	15486372:-232518	15491005:-227885	15473714:-245176	15579032	211	-139858	PROVED_M_LE_217
1043943	2026	1053209	72104	4632	973746	2624	211	NA	15577480:-141192	15568216:-150456	15540424:-178248	15503368:-215304	15484840:-233832	15484840:-233832	15489472:-229200	15472062:-246610	15577480	211	-141192	PROVED_M_LE_217
1043944	2025	1053208	72103	4631	973542	2638	211	NA	15575928:-142526	15566666:-151788	15538880:-179574	15501832:-216622	15483308:-235146	15483308:-235146	15487939:-230515	15470410:-248044	15575928	211	-142526	PROVED_M_LE_217
1043945	2024	1053207	72102	4630	973338	2652	211	NA	15574376:-143860	15565116:-153120	15537336:-180900	15500296:-217940	15481776:-236460	15481776:-236460	15486406:-231830	15468759:-249477	15574376	211	-143860	PROVED_M_LE_217
1043946	2023	1053206	72101	4629	973134	2666	211	NA	15572824:-145194	15563566:-154452	15535792:-182226	15498760:-219258	15480244:-237774	15480244:-237774	15484873:-233145	15467107:-250911	15572824	211	-145194	PROVED_M_LE_217
1043947	2022	1053205	72100	4628	972930	2680	211	NA	15571272:-146528	15562016:-155784	15534248:-183552	15497224:-220576	15478712:-239088	15478712:-239088	15483340:-234460	15465456:-252344	15571272	211	-146528	PROVED_M_LE_217
1043948	2021	1053204	72099	4627	972726	2694	211	NA	15569720:-147862	15560466:-157116	15532704:-184878	15495688:-221894	15477180:-240402	15477180:-240402	15481807:-235775	15463804:-253778	15569720	211	-147862	PROVED_M_LE_217
